,Company,Customer,Number_review,Language,Title,Date_review,Reply,Date_reply,Rating,Status,Experience Date
19,Cofidis,DEBORAH MOSSAKOWSKI,1 review,FR,Très bon service,"Feb 10, 2023","Bonjour Déborah,Je suis ravi de lire votre témoignage. 😊 Bonne journée ! Jérôme de l'équipe Cofidis.","Feb 13, 2023",5,Invited,"Très bon serviceDate of experience: January 04, 2023"
20,Cofidis,Narumol Pfeffer,1 review,CZ,Premium surcharge rate,"Nov 21, 2022","Bonjour Narumol Pfeffer. Je suis désolé de voir que la solution de  financement de votre achat proposée par le vendeur ne vous convienne pas. Je vous invite à revenir vers nous pour échanger sur ce ""10 months free interest"", qui ne correspond pas à l'un de nos produits connus. A très vite ! Lionel de l'équipe Cofidis.","Nov 30, 2022",1,Invited,"Premium surcharge ratePremium surcharge rate at the last contract is a joke. You can get cheaper rate at your local bank anywhere. And stop saying 10 months free interest when you charge 6.5% on premium. A waste of time!!!!!!Date of experience: November 20, 2022"
21,Cofidis,Beth Peake ,12 reviews,FR,Very easy to sort out and cofidis do…,"Updated Aug 3, 2021",Je suis ravi de lire votre commentaire. Je vous remercie pour le partage de cette expérience qui vous a apporté satisfaction. Bonne journée. Rémi de l'équipe Cofidis.,"Updated Aug 3, 2021",5,Invited,"Very easy to sort out and cofidis do…Très facile à trier et cofidis met tout en œuvre pour vous aiderVery easy to sort out and cofidis do everything they can to help youDate of experience: August 03, 2021"
22,Cofidis,IULIANA IFTIME,1 review,FR,Excellent communication,"May 4, 2022","Bonjour IULIANA IFTIME, Merci pour votre commentaire, c'est un plaisir de pouvoir vous apporter satisfaction. Je vous souhaite une belle journée ! Annick de l'équipe Cofidis.","May 5, 2022",5,Invited,"Excellent communicationExcellent communication, attentive à notre besoin financier.Confirmation rapide et collaboration efficiente.Date of experience: May 04, 2022"
23,Cofidis,Anuradha Kariyawasam,1 review,FR,This isn't the right place to have even small credit,"Updated Jul 4, 2023","Bonjour Anuradha.Je vous invite à me faire part de votre avis en Français.Je serais ainsi ravie de pouvoir répondre à vos interrogations, et remarques.Je vous souhaite une bonne journée.Christine de l'équipe Cofidis.","Jun 21, 2023",1,Invited,"This isn't the right place to have even small creditThis isn't the right place to have even small credit. But the LBF the best place to have all of our credit needs. Disappointed 😔Date of experience: June 20, 2023"
24,Cofidis,GERARD CAHOREAU,1 review,FR,Rapide et simple,"Nov 8, 2022",Bonjour Gerard CAHOREAU. Merci pour votre retour. A très bientôt chez Cofidis ! Matthias de l'équipe Cofidis.,"Nov 9, 2022",5,Invited,"Rapide et simpleRapide et simple. MerciDate of experience: October 24, 2022"
25,Cofidis,PHILIPPE SERIEYS,4 reviews,FR,Excellent contact rapidité de mise à…,"Jan 10, 2022","Bonjour Mr Serieys, merci pour votre message. Votre satisfaction est notre plus belle récompense. Nous restons à votre disposition pour toutes questions ou besoins. Olivier le l'équipe Cofidis.","Jan 12, 2022",5,Invited,"Excellent contact rapidité de mise à…Excellent contact rapidité de mise à disposition du prêt simplicité du dossier à constituerDate of experience: January 10, 2022"
26,Cofidis,ZIAN CHAKMA,1 review,FR,It's a pretty good bank for loans,"Aug 3, 2021","Bonjour Monsieur CHAKMA,Merci, ça fait vraiment plaisir ! Nous ferons tout notre possible pour continuer à vous apporter satisfaction. A bientôt ! Julien de l'équipe Cofidis.","Aug 3, 2021",5,Invited,"It's a pretty good bank for loansIt's a pretty good bank for loans . Even though you work at france and a foreigner.  This bank trusts you :) I  satisfiedDate of experience: August 03, 2021"
27,Cofidis,Fernandez Gregory,3 reviews,FR,Très bon contact,"Nov 8, 2022",Bonjour M. Fernandez. Je suis ravi de lire votre témoignage. 😊 Bonne journée ! Philippe de l'équipe Cofidis.,"Nov 9, 2022",5,Invited,"Très bon contactDate of experience: October 28, 2022"
28,Cofidis,MARYSE POUMALIOU,1 review,FR,entiere satisfaction sur propositions…,"Aug 21, 2021","Bonjour Maryse ! Je suis ravi de lire votre commentaire ! Je vous remercie pour le partage de cette expérience qui vous a apporté satisfaction, en espérant pouvoir vous accompagner encore prochainement ! Bonne journée !Laurent de l'équipe Cofidis.","Aug 23, 2021",5,Invited,"entiere satisfaction sur propositions…entiere satisfaction sur propositions de differents prets et pour les delais pour cocretisations offresDate of experience: August 21, 2021"
29,Cofidis,MARTINE CHAUROIS,1 review,PT,Rapport clintele super par les…,"Jun 30, 2021","Bonjour Martine. Mieux vous écouter, pour mieux répondre à vos attentes ! 😃 Merci pour votre commentaire. A bientôt. Christine de l'équipe Cofidis.","Jun 30, 2021",5,Invited,"Rapport clintele super par les…Rapport clintele super par les explications et la gentillesse , delai d'attente de virement rapideDate of experience: June 30, 2021"
30,Cofidis,MODRIC MAHAMOUD,1 review,FR,Interlocuteurs attentionné à la…,"Aug 11, 2021","Bonjour Modric, merci, ça fait vraiment plaisir ! Nous ferons tout notre possible pour continuer à vous apporter satisfaction. A bientôt ! Sébastien de l'équipe Cofidis.","Aug 11, 2021",5,Invited,"Interlocuteurs attentionné à la…Interlocuteurs attentionné à la satisfaction client et efficace dans les échangesDate of experience: August 11, 2021"
31,Cofidis,REXIE ARIESGADO,1 review,FR,"I'm so happy for granting my request,we…","Sep 7, 2021","Bonjour Rexie ! Merci beaucoup pour votre commentaire. Nous sommes heureux de vous proposer les solutions que vous attendiez, belle journée ! Laurent de l'équipe Cofidis.","Sep 8, 2021",5,Invited,"I'm so happy for granting my request,we…I'm so happy for granting my request,we really need the money.thank  you so much  Cofidis.Date of experience: September 07, 2021"
32,Cofidis,Client,2 reviews,FR,Service très très lent,"Oct 24, 2023","Je suis navré de lire votre commentaire... Toutefois, avec Cofidis vous choisissez l'expertise d'une société de crédit engagée à votre service depuis 1982. Nous nous engageons avec des conseillers soucieux de vous apporter le service qui fait toute la différence. Bonne journée. Florian de l'équipe Cofidis. 😉","Oct 24, 2023",1,Invited,"Service très très lentDate of experience: October 24, 2023"
33,Cofidis,Lionel Assepo;,3 reviews,FR,Contact rapide et efficace,"Oct 24, 2022",Bonjour Lionel. Merci pour votre retour. A très bientôt chez Cofidis ! Laétitia l de l'équipe Cofidis.,"Oct 25, 2022",5,Invited,"Contact rapide et efficaceDate of experience: October 24, 2022"
34,Cofidis,AGNES CORDELETTE,1 review,FR,Interlocuteurs adorable gentils…,"Aug 3, 2021","Bonjour Madame CORDELETTE,C'est vous qui êtes adorable ! 😍 Merci beaucoup. Excellente et agréable journée. Julien de l'équipe Cofidis.","Aug 3, 2021",5,Invited,"Interlocuteurs adorable gentils…Interlocuteurs adorable gentils compréhensible virement super.rapide merci à vousDate of experience: August 03, 2021"
35,Cofidis,NOEMIE LIEVEQUIN,1 review,FR,Credit à merveille,"Oct 24, 2022","Bonjour Noémie,Rapide et efficace ! Énorme merci. 💪🏻 Je vous souhaite une agréable journée. Aïcha de l'équipe Cofidis.","Oct 25, 2022",5,Invited,"Credit à merveilleRapide simple et efficaceDate of experience: October 24, 2022"
36,Cofidis,Ryan,2 reviews,FR,C'est tres tres bien service…,"Aug 30, 2022",Bonjour Ryan. Merci beaucoup pour votre note et votre commentaire. Je vous souhaite une belle journée. Matthias de l'équipe Cofidis.,"Aug 31, 2022",5,Invited,"C'est tres tres bien service…C'est tres tres bien service professionelle.!Date of experience: August 30, 2022"
37,Cofidis,Madame RODDIER,3 reviews,FR,Le personnel a ete agreable et efficace,"Sep 20, 2022",Bonjour Madame Roddier. Je vous remercie pour cette belle note 5 étoiles ! 🤩 Excellente semaine. Florian de l'équipe Cofidis.,"Sep 20, 2022",5,Invited,"Le personnel a ete agreable et efficaceDate of experience: September 12, 2022"
38,Cofidis,PRASANNA ANACLETE,1 review,FR,Very good and very speed to get my…,"Jul 13, 2021","Bonjour Monsieur ANACLETE Prasanna,Nous sommes ravis de pouvoir vous accompagner pour vos petits et grands projets.A bientôt ! 😀Jocelyne de l'équipe Cofidis.","Jul 16, 2021",5,Invited,"Very good and very speed to get my…Very good and very speed to get my credit and very satisfied thank you cofidisDate of experience: July 13, 2021"
39,Cofidis,client,2 reviews,FR,Super 👍👍👍👍👍,"Aug 1, 2022","Bonjour,Merci pour votre message. 😊 A bientôt ! Bettina de l'équipe Cofidis. ","Aug 2, 2022",5,Invited,"Super 👍👍👍👍👍Date of experience: July 26, 2022"
40,Cofidis,HERVE GAOUYAT,1 review,FR,Trés bon relationnel,"Dec 13, 2021",Bonjour Hervé ! Mieux vous écouter pour mieux vous comprendre : voilà notre secret ! Au plaisir de vous accompagner à nouveau dans vos projets. Passez de belles fêtes de fin d'année ! 🎅🏻 Ludivine de l'équipe COFIDIS,"Dec 14, 2021",5,Invited,"Trés bon relationnelTrés bon relationnel, sans difficultés de compréhension.Date of experience: December 13, 2021"
41,Cofidis,LAFFITTE,1 review,FR,Application non utilisable,"Aug 10, 2023","Je vous remercie d'avoir pris le temps de nous écrire un commentaire.Je suis navré d'apprendre les difficultés rencontrées.Il est vrai que nous rencontrons parfois des dysfonctionnements sur l'application.Toutefois, actuellement, nous n'en avons pas écho ni par notre support informatique, ni par d'autres clients.Il doit donc s'agir d'un problème isolé et non général.Auriez-vous l'appeler de contacter notre service client au 03 28 09 22 23 (appel gratuit) ?L'un de conseillers pourra ainsi regarder avec vous pour une solution en direct. Passez une belle journée, à bientôt ! Jérôme de l'équipe Cofidis","Updated Aug 10, 2023",3,Invited,"Application non utilisableApplication non utilisable. C est impensable en a notre époqueDate of experience: August 09, 2023"
42,Cofidis,ANGE DIAZ,1 review,FR,Satisfaction,"Jan 16, 2023",Bonjour Ange. Merci pour votre retour. A très bientôt chez Cofidis ! Laétitia l de l'équipe Cofidis.,"Jan 17, 2023",5,Invited,"SatisfactionSimple rapide et efficaceDate of experience: December 29, 2022"
43,Cofidis,GILLES DEMARCQ,3 reviews,FR,Très bon relationnel,"Sep 27, 2022","Bonjour Gilles, je vous remercie pour votre retour. A très bientôt chez Cofidis ! Wahiba de l'équipe Cofidis.","Sep 27, 2022",5,Invited,"Très bon relationnelTrès bon relationnelMerciDate of experience: September 14, 2022"
44,Cofidis,JEAN CLAUDE DELORT,2 reviews,FR,efficace et interlocuteur tres prensent…,"Feb 15, 2022",Bonjour Jean Claude. Merci pour ce retour d'expérience. Votre satisfaction est notre métier ! 🙂 Bonne journée. Florian de l'équipe Cofidis.,"Feb 16, 2022",5,Invited,"efficace et interlocuteur tres prensent…efficace et interlocuteur tres prensent un bon suivi du dossierDate of experience: February 15, 2022"
45,Cofidis,ABDALLAH ZAKOUR,3 reviews,FR,Credit simple rapide interlocuteur…,"Jan 4, 2022",Bonjour Abdallah. Je vous remercie pour votre message et votre note. Je vous souhaite une belle journée. A bientôt. Anthony de l'équipe Cofidis.,"Jan 5, 2022",5,Invited,"Credit simple rapide interlocuteur…Credit simple rapide interlocuteur comprehensible aimable ouvertDate of experience: January 04, 2022"
46,Cofidis,Sylvie,3 reviews,FR,Rapide simple confiance efficace,"Sep 19, 2022",Bonjour Sylvie. Merci beaucoup pour votre message. A très vite ! Julien de l'équipe Cofidis.,"Sep 19, 2022",5,Invited,"Rapide simple confiance efficaceDate of experience: August 30, 2022"
47,Cofidis,MARIE THERESE ANDRIOLLO,3 reviews,FR,Bon service,"Oct 5, 2022",Bonjour Marie-Thérèse. Je vous remercie pour votre message et votre note. Je vous souhaite une belle journée. Anthony de l'équipe Cofidis.,"Oct 6, 2022",5,Invited,"Bon serviceBon service. Bon contact.Date of experience: September 27, 2022"
48,Cofidis,Pm,1 review,FR,Parfait,"Feb 9, 2022",Bonjour Pierre Maxime. Je vous remercie pour votre retour d'expérience. Votre satisfaction est notre plus belle récompense. A bientôt. Emmanuelle de l'équipe Cofidis.,"Feb 10, 2022",5,Invited,"ParfaitParfait, service clients excellent, communication impeccable.Date of experience: February 09, 2022"
49,Cofidis,H Sylvestre,2 reviews,FR,I’m really satisfied for you service…,"Jun 14, 2022","HI H Sylvestre. Thank you for your comment, it is a pleasure to be able to bring you satisfaction. I wish you a beautiful day! Florian from the Cofidis team. 👍","Jun 15, 2022",5,Invited,"I’m really satisfied for you service…I’m really satisfied for you service really gradeDate of experience: June 14, 2022"
50,Cofidis,xxx,1 review,FR,PARFAIT !!!!,"Oct 19, 2022","Bonjour Marmite, merci pour votre message. Votre satisfaction est notre plus belle récompense. Nous restons à votre disposition pour toutes questions ou besoins. Olivier de l'équipe Cofidis","Oct 20, 2022",5,Invited,"PARFAIT !!!!Date of experience: October 19, 2022"
51,Cofidis,Frank T,1 review,FR,In general good service,"Sep 26, 2022",Bonjour Frank ! Merci pour votre note et votre commentaire. Je vous souhaite un bon après-midi. Marie Sophie de l'équipe Cofidis.,"Sep 26, 2022",5,Invited,"In general good serviceDate of experience: September 09, 2022"
52,Cofidis,DAVID COQUERET,3 reviews,FR,Top!,"Aug 17, 2022","Bonjour David, c'est vous qui êtes le meilleur ! 😍 Merci beaucoup. Excellente journée. Céline de l'équipe Cofidis.","Aug 18, 2022",5,Invited,"Top!Trés rapide, simple, parfait!Date of experience: August 17, 2022"
53,Cofidis,ALICIA DOMINIQUE,1 review,FR,Nickel 👌 Super,"Aug 9, 2023","Bonjour Alicia,Merci beaucoup pour votre note et votre commentaire😊 Je vous souhaite une belle journée. Cindy de l'équipe Cofidis.","Aug 10, 2023",5,Invited,"Nickel 👌 SuperDate of experience: May 31, 2023"
54,Cofidis,biatts lutaaya,6 reviews,GB,Excellent service,"Mar 7, 2023",Bonjour Blatts Lutaaya. Un grand merci pour votre commentaire et vos 5 étoiles. Belle journée à vous ! Séverine de l'équipe Cofidis.,"Mar 8, 2023",5,Invited,"Excellent serviceQualité de service et communicationDate of experience: March 06, 2023"
55,Cofidis,AURELIE MAHIEU,1 review,FR,Parfait,"Jun 6, 2022",Bonjour Aurélie.Merci pour votre commentaire et votre note 5 étoiles ! 🤩A bientôt.Cyril de l'équipe Cofidis.,"Jun 8, 2022",5,Invited,"ParfaitExcellent service , simple et rapide MerciDate of experience: June 06, 2022"
56,Cofidis,JASON FOUSSIER,1 review,FR,Rapide et simple,"Jul 26, 2022",Merci beaucoup pour votre message. A très vite Jason ! Aude de l'équipe Cofidis.,"Jul 27, 2022",5,Invited,"Rapide et simpleBon service client, rapide et simpleDate of experience: July 26, 2022"
57,Cofidis,Shaun Wilson ,6 reviews,FR,Excellent service and first class…,"Jan 25, 2022","Bonjour Shaun,Merci pour votre commentaire et votre note 5 étoiles ! 🤩 A bientôt. Céline de l'équipe Cofidis.","Jan 26, 2022",5,Invited,"Excellent service and first class…Excellent service and first class customer serviceDate of experience: January 25, 2022"
58,Cofidis,JEAN CLAUDE HASENFRATZ,1 review,FR,Top et excellent,"Jan 11, 2023",Bonjour Jean-Claude. Je vous remercie pour votre message et votre note. Je vous souhaite une belle journée. Anthony de l'équipe Cofidis.,"Jan 12, 2023",5,Invited,"Top et excellentRapide et efficaceDate of experience: December 09, 2022"
59,Cofidis,SAID,1 review,FR,Excellent travail,"Jan 4, 2023","Bonjour Said,Merci beaucoup pour votre note et votre commentaire. Je vous souhaite une belle journée. Marion de l'équipe Cofidis.","Jan 4, 2023",5,Invited,"Excellent travailExcellent travail.Date of experience: January 03, 2023"
60,Cofidis,el miloud belhadef,2 reviews,FR,Super pro,"Jun 28, 2021",Bonjour El MiloudMerci pour votre retour. A très bientôt chez Cofidis ! Valérie de l'équipe Cofidis.,"Jun 29, 2021",5,Invited,"Super proService professionnel, simple, efficace et rapideDate of experience: June 28, 2021"
61,Cofidis,Jens Schmidt,15 reviews,DK,Good service,"Oct 3, 2022","Bonjour Jens, merci pour votre message. 😊 A bientôt ! Alycia de l'équipe Cofidis. ","Oct 4, 2022",5,Invited,"Good serviceDate of experience: September 15, 2022"
62,Cofidis,MARIA OLIVIA CREDO TIBLE,1 review,FR,Je suos content,"Apr 5, 2022","Bonjour Maria, je suis ravi de lire votre commentaire. Je vous remercie pour le partage de cette expérience qui vous a apporté satisfaction. En espérant pouvoir vous accompagner encore prochainement ! Bonne journée. Sébastien de l'équipe Cofidis.","Apr 6, 2022",5,Invited,"Je suos contentJe suos content . Un travail excellentDate of experience: April 05, 2022"
63,Cofidis,PASCALE SENFT,1 review,FR,Contact rapide de la part de vos…,"Nov 2, 2021",Bonjour Pascale.Merci beaucoup pour votre note et votre commentaire. Je vous souhaite une belle journée. Antoine de l'équipe Cofidis.,"Nov 3, 2021",5,Invited,"Contact rapide de la part de vos…Contact rapide de la part de vos services.Date of experience: November 02, 2021"
64,Cofidis,CHRISTOPHE MAQUINGHEN,1 review,FR,Excellente communication,"Jul 27, 2021",Bonjour M. Maquinghem. Je suis ravi de lire votre témoignage. 😊 Bonne journée ! Philippe de l'équipe Cofidis.,"Jul 28, 2021",5,Invited,"Excellente communicationExcellente communication, traitement rapide.Date of experience: July 27, 2021"
65,Cofidis,ERIC VERON,1 review,FR,Excellent,"May 3, 2022",Bonjour Eric.Merci beaucoup pour votre note et votre commentaire.Je vous souhaite une belle journée.Cyril de l'équipe Cofidis.,"May 3, 2022",5,Invited,"ExcellentExcellent, simple et rapide. MerciDate of experience: May 03, 2022"
66,Cofidis,DOMINIQUE PANETIER,1 review,FR,RAS  facile,"Jan 4, 2022","Bonjour Dominique. Rapide, facile et efficace ! Énorme merci. 💪🏻 Je vous souhaite une agréable journée. Isabelle de l'équipe Cofidis.","Jan 5, 2022",5,Invited,"RAS  facileRAS  facile, Rapide, simple..merci !!!Date of experience: January 04, 2022"
67,Cofidis,DIDIER COPPIN,2 reviews,FR,Rapide simple très efficace merci,"Jan 25, 2022","Bonjour Didier et merci de votre post. Nous travaillons chaque jour à vous apporter le meilleur service client du marché, c'est motivant de vous lire à ce sujet ! A bientôt pour d'autres projets. Lionel de l'équipe Cofidis.","Jan 26, 2022",5,Invited,"Rapide simple très efficace merciDate of experience: January 25, 2022"
68,Cofidis,ALLAN HERBY,1 review,FR,Nickel,"Aug 1, 2022","Bonjour et merci pour votre message. Notre meilleure preuve de sérieux et d’efficacité c’est votre reconnaissance, merci de cette confiance. Votre projet se finance en bleu, blanc, rouge car depuis plus de 40 ans toute l’entreprise est située dans le nord, en nous choisissant vous soutenez aussi notre économie ! A bientôt pour d’autres échanges ! Lionel de l’équipe Cofidis.","Aug 5, 2022",5,Invited,"NickelSuper rapide et efficaceDate of experience: August 01, 2022"
69,Cofidis,ELANGKUMARAN THARUMATHASS,1 review,FR,Excellent iwas happy,"Aug 17, 2022","Bonjour. Je vous remercie pour ce message, ça fait plaisir ! Belle journée. Julien de l'équipe Cofidis.","Aug 18, 2022",5,Invited,"Excellent iwas happyExellent i will happyDate of experience: August 17, 2022"
70,Cofidis,ERIC LENFANT,1 review,FR,Super au top merci à eux,"Jun 14, 2022",Bonjour Eric. Je suis ravi de lire votre témoignage. 😊 Bonne journée ! Florian de l'équipe Cofidis.,"Jun 15, 2022",5,Invited,"Super au top merci à euxDate of experience: June 14, 2022"
71,Cofidis,MARINA K,1 review,FR,Parfait,"Aug 30, 2022","Merci pour votre confiance Marina, je vous souhaite un bon après-midi ! Julien de l'équipe Cofidis.","Aug 30, 2022",5,Invited,"ParfaitParfait! Tres bon!Date of experience: August 30, 2022"
72,Cofidis,De sousa Aurora,3 reviews,FR,Réactivité optimale,"May 24, 2022",Bonjour Aurora !Merci pour votre commentaire et votre note 5 étoiles ! 🤩 A bientôt. Sabin de l'équipe Cofidis.,"May 25, 2022",5,Invited,"Réactivité optimaleDate of experience: May 24, 2022"
73,Cofidis,KARIM DEGACHI,1 review,FR,Satisfaction,"Jul 18, 2022","Bonjour Karim,Je suis ravie de lire votre témoignage. 😊 Bonne journée ! Virginie de l'équipe Cofidis.","Jul 20, 2022",5,Invited,"SatisfactionSatisfaction de cofedisDate of experience: July 18, 2022"
74,Cofidis,ALAIN ROUSSEL,1 review,FR,Simple,"Apr 19, 2022",Rapide et efficace ! Enorme merci. 💪🏻 Je vous souhaite une agréable journée. Rémi de l'équipe Cofidis.,"Apr 21, 2022",5,Invited,"SimpleSimple , rapide , efficace !!!Date of experience: April 19, 2022"
75,Cofidis,MARTINE LECLERC,1 review,FR,excellent,"Oct 26, 2021","Bonjour Martine, merci pour votre commentaire, c'est un plaisir de pouvoir vous apporter satisfaction. Je vous souhaite une bonne soirée ! Wahiba de l'équipe Cofidis.","Oct 26, 2021",5,Invited,"excellentexcellent  entière satisfactionDate of experience: October 26, 2021"
76,Cofidis,MARIE DOS SANTOS,2 reviews,FR,Personnel SUPER!!!!!Ne changez rien,"Nov 24, 2021",Merci Marie Dos Santos pour votre retour. A très bientôt chez Cofidis ! Sabin de l'équipe Cofidis.,"Nov 24, 2021",5,Invited,"Personnel SUPER!!!!!Ne changez rienDate of experience: November 24, 2021"
77,Cofidis,CHARLES MIKAEL,1 review,FR,Simple,"Dec 13, 2021",Bonjour Charles Mikael. Je suis ravi de lire votre témoignage. 😊 Bonne journée ! Jérôme de l'équipe Cofidis.,"Dec 14, 2021",5,Invited,"SimpleSimple, efficace, et rapiditéDate of experience: December 13, 2021"
